"municipality","votes","candidate","parties","file","district"
"小鹿野町",627,"柴岡　ゆうま","日本共産党","000520894.xls","埼玉県第11区"
"小鹿野町",1671,"今野　ともひろ","(無所属)","000520894.xls","埼玉県第11区"
"小鹿野町",537,"三角　そうた","希望の党","000520894.xls","埼玉県第11区"
"小鹿野町",2826,"小泉　りゅうじ","(無所属)","000520894.xls","埼玉県第11区"
"東秩父村",150,"柴岡　ゆうま","日本共産党","000520894.xls","埼玉県第11区"
"東秩父村",330,"今野　ともひろ","(無所属)","000520894.xls","埼玉県第11区"
"東秩父村",258,"三角　そうた","希望の党","000520894.xls","埼玉県第11区"
"東秩父村",995,"小泉　りゅうじ","(無所属)","000520894.xls","埼玉県第11区"
"美里町",491,"柴岡　ゆうま","日本共産党","000520894.xls","埼玉県第11区"
"美里町",1281,"今野　ともひろ","(無所属)","000520894.xls","埼玉県第11区"
"美里町",712,"三角　そうた","希望の党","000520894.xls","埼玉県第11区"
"美里町",2706,"小泉　りゅうじ","(無所属)","000520894.xls","埼玉県第11区"
"神川町",628,"柴岡　ゆうま","日本共産党","000520894.xls","埼玉県第11区"
"神川町",1376,"今野　ともひろ","(無所属)","000520894.xls","埼玉県第11区"
"神川町",809,"三角　そうた","希望の党","000520894.xls","埼玉県第11区"
"神川町",2888,"小泉　りゅうじ","(無所属)","000520894.xls","埼玉県第11区"
"上里町",1567,"柴岡　ゆうま","日本共産党","000520894.xls","埼玉県第11区"
"上里町",3368,"今野　ともひろ","(無所属)","000520894.xls","埼玉県第11区"
"上里町",2355,"三角　そうた","希望の党","000520894.xls","埼玉県第11区"
"上里町",5469,"小泉　りゅうじ","(無所属)","000520894.xls","埼玉県第11区"
"寄居町",2550,"柴岡　ゆうま","日本共産党","000520894.xls","埼玉県第11区"
"寄居町",3641,"今野　ともひろ","(無所属)","000520894.xls","埼玉県第11区"
"寄居町",2332,"三角　そうた","希望の党","000520894.xls","埼玉県第11区"
"寄居町",7766,"小泉　りゅうじ","(無所属)","000520894.xls","埼玉県第11区"
"埼玉県第11区 合計",24624,"柴岡　ゆうま","日本共産党","000520894.xls","埼玉県第11区"
"埼玉県第11区 合計",50046,"今野　ともひろ","(無所属)","000520894.xls","埼玉県第11区"
"埼玉県第11区 合計",27387,"三角　そうた","希望の党","000520894.xls","埼玉県第11区"
"埼玉県第11区 合計",88290,"小泉　りゅうじ","(無所属)","000520894.xls","埼玉県第11区"
"熊谷市（12区）",50467,"森田　としかず","希望の党","000520894.xls","埼玉県第12区"
"熊谷市（12区）",7370,"林　ひでひろ","日本共産党","000520894.xls","埼玉県第12区"
"熊谷市（12区）",25178,"野中　あつし","自由民主党","000520894.xls","埼玉県第12区"
"行田市",14453,"森田　としかず","希望の党","000520894.xls","埼玉県第12区"
"行田市",4212,"林　ひでひろ","日本共産党","000520894.xls","埼玉県第12区"
"行田市",16943,"野中　あつし","自由民主党","000520894.xls","埼玉県第12区"
"加須市",12247,"森田　としかず","希望の党","000520894.xls","埼玉県第12区"
"加須市",5454,"林　ひでひろ","日本共産党","000520894.xls","埼玉県第12区"
"加須市",29636,"野中　あつし","自由民主党","000520894.xls","埼玉県第12区"
"羽生市",7698,"森田　としかず","希望の党","000520894.xls","埼玉県第12区"
"羽生市",2426,"林　ひでひろ","日本共産党","000520894.xls","埼玉県第12区"
"羽生市",12936,"野中　あつし","自由民主党","000520894.xls","埼玉県第12区"
"鴻巣市（12区）",1142,"森田　としかず","希望の党","000520894.xls","埼玉県第12区"
"鴻巣市（12区）",416,"林　ひでひろ","日本共産党","000520894.xls","埼玉県第12区"
"鴻巣市（12区）",1806,"野中　あつし","自由民主党","000520894.xls","埼玉県第12区"
"埼玉県第12区 合計",86007,"森田　としかず","希望の党","000520894.xls","埼玉県第12区"
"埼玉県第12区 合計",19878,"林　ひでひろ","日本共産党","000520894.xls","埼玉県第12区"
"埼玉県第12区 合計",86499,"野中　あつし","自由民主党","000520894.xls","埼玉県第12区"
"春日部市（13区）",24040,"きたずみ　よしゆき","希望の党","000520894.xls","埼玉県第13区"
"春日部市（13区）",44236,"つちや　品子","自由民主党","000520894.xls","埼玉県第13区"
"春日部市（13区）",13813,"池田　まさよ","社会民主党","000520894.xls","埼玉県第13区"
"越谷市",4745,"きたずみ　よしゆき","希望の党","000520894.xls","埼玉県第13区"
"越谷市",7257,"つちや　品子","自由民主党","000520894.xls","埼玉県第13区"
"越谷市",3110,"池田　まさよ","社会民主党","000520894.xls","埼玉県第13区"
"久喜市（13区）",10582,"きたずみ　よしゆき","希望の党","000520894.xls","埼玉県第13区"
"久喜市（13区）",20485,"つちや　品子","自由民主党","000520894.xls","埼玉県第13区"
"久喜市（13区）",7454,"池田　まさよ","社会民主党","000520894.xls","埼玉県第13区"
"蓮田市",7714,"きたずみ　よしゆき","希望の党","000520894.xls","埼玉県第13区"
"蓮田市",13247,"つちや　品子","自由民主党","000520894.xls","埼玉県第13区"
"蓮田市",5560,"池田　まさよ","社会民主党","000520894.xls","埼玉県第13区"
"白岡市",6832,"きたずみ　よしゆき","希望の党","000520894.xls","埼玉県第13区"
"白岡市",11400,"つちや　品子","自由民主党","000520894.xls","埼玉県第13区"
"白岡市",4016,"池田　まさよ","社会民主党","000520894.xls","埼玉県第13区"
"宮代町",4034,"きたずみ　よしゆき","希望の党","000520894.xls","埼玉県第13区"
"宮代町",7875,"つちや　品子","自由民主党","000520894.xls","埼玉県第13区"
"宮代町",2802,"池田　まさよ","社会民主党","000520894.xls","埼玉県第13区"
"埼玉県第13区 合計",57947,"きたずみ　よしゆき","希望の党","000520894.xls","埼玉県第13区"
"埼玉県第13区 合計",104500,"つちや　品子","自由民主党","000520894.xls","埼玉県第13区"
"埼玉県第13区 合計",36755,"池田　まさよ","社会民主党","000520894.xls","埼玉県第13区"
"春日部市（14区）",1764,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"春日部市（14区）",2293,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"春日部市（14区）",3974,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"春日部市（14区）",8064,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"久喜市（14区）",1950,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"久喜市（14区）",4537,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"久喜市（14区）",7575,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"久喜市（14区）",13895,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"八潮市",2151,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"八潮市",4418,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"八潮市",10050,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"八潮市",14080,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"三郷市",3151,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"三郷市",8818,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"三郷市",19911,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"三郷市",19880,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"幸手市",1181,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"幸手市",2870,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"幸手市",4780,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"幸手市",14022,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"吉川市",1826,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"吉川市",4418,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"吉川市",8350,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"吉川市",12989,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"杉戸町",1217,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"杉戸町",2953,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"杉戸町",5055,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"杉戸町",9931,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"松伏町",686,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"松伏町",1710,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"松伏町",3038,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"松伏町",5582,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"埼玉県第14区 合計",13926,"はたの　博","日本維新の会","000520894.xls","埼玉県第14区"
"埼玉県第14区 合計",32017,"苗村　京子","日本共産党","000520894.xls","埼玉県第14区"
"埼玉県第14区 合計",62733,"鈴木　よしひろ","希望の党","000520894.xls","埼玉県第14区"
"埼玉県第14区 合計",98443,"三ツ林　ひろみ","自由民主党","000520894.xls","埼玉県第14区"
"川　　口　　市(15区)",2883,"田中　良生","自由民主党","000520894.xls","埼玉県第15区"
"川　　口　　市(15区)",1532,"梅村　さえこ","日本共産党","000520894.xls","埼玉県第15区"
"川　　口　　市(15区)",872,"高橋　ひであき","日本維新の会","000520894.xls","埼玉県第15区"
"川　　口　　市(15区)",1347,"高山　さとし","希望の党","000520894.xls","埼玉県第15区"
"蕨市",14821,"田中　良生","自由民主党","000520894.xls","埼玉県第15区"
"蕨市",6279,"梅村　さえこ","日本共産党","000520894.xls","埼玉県第15区"
"蕨市",2094,"高橋　ひであき","日本維新の会","000520894.xls","埼玉県第15区"
"蕨市",6605,"高山　さとし","希望の党","000520894.xls","埼玉県第15区"
"戸田市",24753,"田中　良生","自由民主党","000520894.xls","埼玉県第15区"
"戸田市",9206,"梅村　さえこ","日本共産党","000520894.xls","埼玉県第15区"
"戸田市",3912,"高橋　ひであき","日本維新の会","000520894.xls","埼玉県第15区"
"戸田市",11642,"高山　さとし","希望の党","000520894.xls","埼玉県第15区"
"さいたま市桜区",17912,"田中　良生","自由民主党","000520894.xls","埼玉県第15区"
"さいたま市桜区",7405,"梅村　さえこ","日本共産党","000520894.xls","埼玉県第15区"
"さいたま市桜区",2513,"高橋　ひであき","日本維新の会","000520894.xls","埼玉県第15区"
"さいたま市桜区",9373,"高山　さとし","希望の党","000520894.xls","埼玉県第15区"
"さいたま市南区",35816,"田中　良生","自由民主党","000520894.xls","埼玉県第15区"
"さいたま市南区",15075,"梅村　さえこ","日本共産党","000520894.xls","埼玉県第15区"
"さいたま市南区",5623,"高橋　ひであき","日本維新の会","000520894.xls","埼玉県第15区"
"さいたま市南区",19762,"高山　さとし","希望の党","000520894.xls","埼玉県第15区"
"埼玉県第15区 合計",96185,"田中　良生","自由民主党","000520894.xls","埼玉県第15区"
"埼玉県第15区 合計",39497,"梅村　さえこ","日本共産党","000520894.xls","埼玉県第15区"
"埼玉県第15区 合計",15014,"高橋　ひであき","日本維新の会","000520894.xls","埼玉県第15区"
"埼玉県第15区 合計",48729,"高山　さとし","希望の党","000520894.xls","埼玉県第15区"
"千葉市中央区",28954,"たじま　要","希望の党","000520896.xls","千葉県第１区"
"千葉市中央区",33038,"門山　ひろあき","自由民主党","000520896.xls","千葉県第１区"
"千葉市中央区",7939,"大野　たかし","日本共産党","000520896.xls","千葉県第１区"
"千葉市中央区",5224,"長谷川　ゆたか","日本維新の会","000520896.xls","千葉県第１区"
"千葉市稲毛区",25771,"たじま　要","希望の党","000520896.xls","千葉県第１区"
"千葉市稲毛区",25549,"門山　ひろあき","自由民主党","000520896.xls","千葉県第１区"
"千葉市稲毛区",7876,"大野　たかし","日本共産党","000520896.xls","千葉県第１区"
"千葉市稲毛区",4448,"長谷川　ゆたか","日本維新の会","000520896.xls","千葉県第１区"
"千葉市美浜区",26756,"たじま　要","希望の党","000520896.xls","千葉県第１区"
"千葉市美浜区",24251,"門山　ひろあき","自由民主党","000520896.xls","千葉県第１区"
"千葉市美浜区",8416,"大野　たかし","日本共産党","000520896.xls","千葉県第１区"
"千葉市美浜区",5342,"長谷川　ゆたか","日本維新の会","000520896.xls","千葉県第１区"
"千葉県第１区 合計",81481,"たじま　要","希望の党","000520896.xls","千葉県第１区"
"千葉県第１区 合計",82838,"門山　ひろあき","自由民主党","000520896.xls","千葉県第１区"
"千葉県第１区 合計",24231,"大野　たかし","日本共産党","000520896.xls","千葉県第１区"
"千葉県第１区 合計",15014,"長谷川　ゆたか","日本維新の会","000520896.xls","千葉県第１区"
"千葉市花見川区",4440,"藤巻　けんた","日本維新の会","000520896.xls","千葉県第２区"
"千葉市花見川区",6271,"上野　ひろつぐ","日本共産党","000520896.xls","千葉県第２区"
"千葉市花見川区",17868,"ひぐち　ひろやす","立憲民主党","000520896.xls","千葉県第２区"
"千葉市花見川区",8690,"竹ヶ原　ゆみこ","希望の党","000520896.xls","千葉県第２区"
"千葉市花見川区",33121,"小林　たかゆき","自由民主党","000520896.xls","千葉県第２区"
"習志野市",5576,"藤巻　けんた","日本維新の会","000520896.xls","千葉県第２区"
"習志野市",4929,"上野　ひろつぐ","日本共産党","000520896.xls","千葉県第２区"
"習志野市",18321,"ひぐち　ひろやす","立憲民主党","000520896.xls","千葉県第２区"
"習志野市",9056,"竹ヶ原　ゆみこ","希望の党","000520896.xls","千葉県第２区"
"習志野市",35120,"小林　たかゆき","自由民主党","000520896.xls","千葉県第２区"
"八千代市",4869,"藤巻　けんた","日本維新の会","000520896.xls","千葉県第２区"
"八千代市",5291,"上野　ひろつぐ","日本共産党","000520896.xls","千葉県第２区"
"八千代市",17846,"ひぐち　ひろやす","立憲民主党","000520896.xls","千葉県第２区"
"八千代市",11132,"竹ヶ原　ゆみこ","希望の党","000520896.xls","千葉県第２区"
"八千代市",40723,"小林　たかゆき","自由民主党","000520896.xls","千葉県第２区"
"千葉県第２区 合計",14885,"藤巻　けんた","日本維新の会","000520896.xls","千葉県第２区"
"千葉県第２区 合計",16491,"上野　ひろつぐ","日本共産党","000520896.xls","千葉県第２区"
"千葉県第２区 合計",54035,"ひぐち　ひろやす","立憲民主党","000520896.xls","千葉県第２区"
"千葉県第２区 合計",28878,"竹ヶ原　ゆみこ","希望の党","000520896.xls","千葉県第２区"
"千葉県第２区 合計",108964,"小林　たかゆき","自由民主党","000520896.xls","千葉県第２区"
"千葉市緑区",25213,"松野　ひろかず","自由民主党","000520896.xls","千葉県第３区"
"千葉市緑区",16170,"岡島　一正","立憲民主党","000520896.xls","千葉県第３区"
"千葉市緑区",7857,"くしぶち　万里","希望の党","000520896.xls","千葉県第３区"
"市原市",60248,"松野　ひろかず","自由民主党","000520896.xls","千葉県第３区"
"市原市",35848,"岡島　一正","立憲民主党","000520896.xls","千葉県第３区"
"市原市",15105,"くしぶち　万里","希望の党","000520896.xls","千葉県第３区"
"千葉県第３区 合計",85461,"松野　ひろかず","自由民主党","000520896.xls","千葉県第３区"
"千葉県第３区 合計",52018,"岡島　一正","立憲民主党","000520896.xls","千葉県第３区"
"千葉県第３区 合計",22962,"くしぶち　万里","希望の党","000520896.xls","千葉県第３区"
"船橋市（４区）",14955,"深津　としろう","日本共産党","000520896.xls","千葉県第４区"
"船橋市（４区）",131024,"野田　よしひこ","(無所属)","000520896.xls","千葉県第４区"
"船橋市（４区）",61804,"木村　てつや","自由民主党","000520896.xls","千葉県第４区"
"船橋市（４区）",12104,"佐藤　浩","日本維新の会","000520896.xls","千葉県第４区"
"千葉県第４区 合計",14955,"深津　としろう","日本共産党","000520896.xls","千葉県第４区"
"千葉県第４区 合計",131024,"野田　よしひこ","(無所属)","000520896.xls","千葉県第４区"
"千葉県第４区 合計",61804,"木村　てつや","自由民主党","000520896.xls","千葉県第４区"
"千葉県第４区 合計",12104,"佐藤　浩","日本維新の会","000520896.xls","千葉県第４区"
"市川市（５区）",71594,"そのうら　健太郎","自由民主党","000520896.xls","千葉県第５区"
"市川市（５区）",42206,"山田　あつし","立憲民主党","000520896.xls","千葉県第５区"
"市川市（５区）",27076,"岡野　じゅんこ","希望の党","000520896.xls","千葉県第５区"
"浦安市",35705,"そのうら　健太郎","自由民主党","000520896.xls","千葉県第５区"
"浦安市",20688,"山田　あつし","立憲民主党","000520896.xls","千葉県第５区"
"浦安市",13039,"岡野　じゅんこ","希望の党","000520896.xls","千葉県第５区"
"千葉県第５区 合計",107299,"そのうら　健太郎","自由民主党","000520896.xls","千葉県第５区"
"千葉県第５区 合計",62894,"山田　あつし","立憲民主党","000520896.xls","千葉県第５区"
"千葉県第５区 合計",40115,"岡野　じゅんこ","希望の党","000520896.xls","千葉県第５区"
"市川市（６区）",6638,"遠藤　のぶひこ","希望の党","000520896.xls","千葉県第６区"
"市川市（６区）",17452,"生方　幸夫","立憲民主党","000520896.xls","千葉県第６区"
"市川市（６区）",21526,"渡辺　ひろみち","自由民主党","000520896.xls","千葉県第６区"
"市川市（６区）",2809,"星　けんたろう","日本維新の会","000520896.xls","千葉県第６区"
"松戸市（６区）",17063,"遠藤　のぶひこ","希望の党","000520896.xls","千葉県第６区"
"松戸市（６区）",47829,"生方　幸夫","立憲民主党","000520896.xls","千葉県第６区"
"松戸市（６区）",54797,"渡辺　ひろみち","自由民主党","000520896.xls","千葉県第６区"
"松戸市（６区）",7336,"星　けんたろう","日本維新の会","000520896.xls","千葉県第６区"
"千葉県第６区 合計",23701,"遠藤　のぶひこ","希望の党","000520896.xls","千葉県第６区"
"千葉県第６区 合計",65281,"生方　幸夫","立憲民主党","000520896.xls","千葉県第６区"
"千葉県第６区 合計",76323,"渡辺　ひろみち","自由民主党","000520896.xls","千葉県第６区"
"千葉県第６区 合計",10145,"星　けんたろう","日本維新の会","000520896.xls","千葉県第６区"
"松戸市（７区）",5361,"わたなべ　隆夫　","日本共産党","000520896.xls","千葉県第７区"
"松戸市（７区）",38061,"さいとう　健","自由民主党","000520896.xls","千葉県第７区"
"松戸市（７区）",17875,"石塚　さだみち","立憲民主党","000520896.xls","千葉県第７区"
"松戸市（７区）",9643,"はたの　里奈","希望の党","000520896.xls","千葉県第７区"
"野田市",3884,"わたなべ　隆夫　","日本共産党","000520896.xls","千葉県第７区"
"野田市",33149,"さいとう　健","自由民主党","000520896.xls","千葉県第７区"
"野田市",14267,"石塚　さだみち","立憲民主党","000520896.xls","千葉県第７区"
"野田市",8628,"はたの　里奈","希望の党","000520896.xls","千葉県第７区"
"流山市",5780,"わたなべ　隆夫　","日本共産党","000520896.xls","千葉県第７区"
"流山市",44521,"さいとう　健","自由民主党","000520896.xls","千葉県第７区"
"流山市",19634,"石塚　さだみち","立憲民主党","000520896.xls","千葉県第７区"
"流山市",11435,"はたの　里奈","希望の党","000520896.xls","千葉県第７区"
"千葉県第７区 合計",15025,"わたなべ　隆夫　","日本共産党","000520896.xls","千葉県第７区"
"千葉県第７区 合計",115731,"さいとう　健","自由民主党","000520896.xls","千葉県第７区"
"千葉県第７区 合計",51776,"石塚　さだみち","立憲民主党","000520896.xls","千葉県第７区"
"千葉県第７区 合計",29706,"はたの　里奈","希望の党","000520896.xls","千葉県第７区"
"柏市（８区）",71446,"桜田　よしたか","自由民主党","000520896.xls","千葉県第８区"
"柏市（８区）",23734,"小野里　ていりょう","日本共産党","000520896.xls","千葉県第８区"
"柏市（８区）",50360,"太田　かずみ","希望の党","000520896.xls","千葉県第８区"
"我孫子市",28669,"桜田　よしたか","自由民主党","000520896.xls","千葉県第８区"
"我孫子市",10018,"小野里　ていりょう","日本共産党","000520896.xls","千葉県第８区"
"我孫子市",21108,"太田　かずみ","希望の党","000520896.xls","千葉県第８区"
"千葉県第８区 合計",100115,"桜田　よしたか","自由民主党","000520896.xls","千葉県第８区"
"千葉県第８区 合計",33752,"小野里　ていりょう","日本共産党","000520896.xls","千葉県第８区"
"千葉県第８区 合計",71468,"太田　かずみ","希望の党","000520896.xls","千葉県第８区"
"千葉市若葉区",27044,"秋本　まさとし","自由民主党","000520896.xls","千葉県第９区"
"千葉市若葉区",8009,"かもしだ　安代","日本共産党","000520896.xls","千葉県第９区"
"千葉市若葉区",21169,"おくの　総一郎","希望の党","000520896.xls","千葉県第９区"
"佐倉市",34488,"秋本　まさとし","自由民主党","000520896.xls","千葉県第９区"
"佐倉市",12199,"かもしだ　安代","日本共産党","000520896.xls","千葉県第９区"
"佐倉市",30533,"おくの　総一郎","希望の党","000520896.xls","千葉県第９区"
"四街道市",17686,"秋本　まさとし","自由民主党","000520896.xls","千葉県第９区"
"四街道市",5148,"かもしだ　安代","日本共産党","000520896.xls","千葉県第９区"
"四街道市",14908,"おくの　総一郎","希望の党","000520896.xls","千葉県第９区"
"八街市",12962,"秋本　まさとし","自由民主党","000520896.xls","千葉県第９区"
"八街市",3132,"かもしだ　安代","日本共産党","000520896.xls","千葉県第９区"
"八街市",9722,"おくの　総一郎","希望の党","000520896.xls","千葉県第９区"
"千葉県第９区 合計",92180,"秋本　まさとし","自由民主党","000520896.xls","千葉県第９区"
"千葉県第９区 合計",28488,"かもしだ　安代","日本共産党","000520896.xls","千葉県第９区"
"千葉県第９区 合計",76332,"おくの　総一郎","希望の党","000520896.xls","千葉県第９区"
"銚子市",13420,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"銚子市",2071,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"銚子市",8139,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"成田市",25564,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"成田市",4902,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"成田市",17612,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"旭市",13635,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"旭市",1486,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"旭市",9884,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"匝瑳市",8203,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"匝瑳市",1044,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"匝瑳市",5833,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"香取市",15532,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"香取市",2013,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"香取市",15340,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"神崎町",1528,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"神崎町",236,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"神崎町",1230,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"多古町",3759,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"多古町",401,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"多古町",2840,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"東庄町",4522,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"東庄町",278,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"東庄町",2069,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"横芝光町（10区）",2235,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"横芝光町（10区）",327,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"横芝光町（10区）",2309,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"千葉県第10区 合計",88398,"林　幹雄","自由民主党","000520896.xls","千葉県第10区"
"千葉県第10区 合計",12758,"笠原　正実","日本共産党","000520896.xls","千葉県第10区"
"千葉県第10区 合計",65256,"谷田川　はじめ　","希望の党","000520896.xls","千葉県第10区"
"茂原市",10857,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"茂原市",19567,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"茂原市",4912,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"東金市",6200,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"東金市",13835,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"東金市",3421,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"勝浦市",1547,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"勝浦市",5074,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"勝浦市",994,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"山武市",5159,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"山武市",12813,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"山武市",2810,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"いすみ市",4013,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"いすみ市",9450,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"いすみ市",2317,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"大網白里市",5663,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"大網白里市",11850,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"大網白里市",3378,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"九十九里町",1476,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"九十九里町",4076,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"九十九里町",852,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"芝山町",714,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"芝山町",1890,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"芝山町",328,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"横芝光町（11区）",1220,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"横芝光町（11区）",3703,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"横芝光町（11区）",545,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"一宮町",1575,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"一宮町",3065,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"一宮町",798,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"睦沢町",802,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"睦沢町",1979,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"睦沢町",401,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"長生村",1469,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"長生村",3867,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"長生村",888,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"白子町",1204,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"白子町",3012,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"白子町",625,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"長柄町",863,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"長柄町",2018,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"長柄町",334,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"長南町",867,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"長南町",2591,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"長南町",360,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"大多喜町",857,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"大多喜町",3061,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"大多喜町",482,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"御宿町",859,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"御宿町",2068,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"御宿町",523,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"千葉県第11区 合計",45345,"たがや　亮　","希望の党","000520896.xls","千葉県第11区"
"千葉県第11区 合計",103919,"森　英介","自由民主党","000520896.xls","千葉県第11区"
"千葉県第11区 合計",23968,"椎名　史明　","日本共産党","000520896.xls","千葉県第11区"
"館山市",2561,"大西　わたる","日本共産党","000520896.xls","千葉県第12区"
